Unidade,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0
1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0
4,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
5,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1
6,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
7,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
8,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
9,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
