Unidade,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0
1,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,0.0,4.0,1.0
2,4.0,0.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0
3,4.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0
4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
